Supplier Name,Mandatory Restrictions,Reporting Month,Total Population Served, REPORTED Total Monthly Potable Water Production Reporting Month , REPORTED Total Monthly Potable Water Production 2013 ,REPORTED Monthly CII,REPORTED Monthly Ag Use Reporting Month,Conservation Standard (starting in June 2015) *Adjusted in March 2016 **Revised in June 2016,CALCULATED Total Monthly Potable Water Production Reporting Month Gallons,CALCULATED Total Monthly Potable Water Production 2013 Gallons,CALCULATED Monthly CII Reporting Month,% Residential Use,Hydrologic Region
East Bay Municipal Utilities District,No,10/15/16," 1,400,000 ",4689.9,6175,956,,0%," 4,689,900,000 "," 6,175,000,000 "," 956,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,No,9/15/16," 1,400,000 ",5636.2,6528.4,912,,0%," 5,636,200,000 "," 6,528,400,000 "," 912,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,No,8/15/16," 1,400,000 ",6007.5,7172.3,1141,,0%," 6,007,500,000 "," 7,172,300,000 "," 1,141,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,No,7/15/16," 1,400,000 ",6056.6,7452.2,994,,0%," 6,056,600,000 "," 7,452,200,000 "," 994,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/16," 1,400,000 ",5675.9,6927.5,839,,0%," 5,675,900,000 "," 6,927,500,000 "," 839,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,5/15/16," 1,400,000 ",4959.3,6716.5,955,,16%," 4,959,300,000 "," 6,716,500,000 "," 955,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,4/15/16," 1,400,000 ",4018.8,5417.5,830,,16%," 4,018,800,000 "," 5,417,500,000 "," 830,000,000 ", 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,3/15/16," 1,400,000 ",3765.6,4927.5,810,,16%," 3,765,600,000 "," 4,927,500,000 "," 810,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,2/15/16," 1,400,000 ",3625.4,4016.4,818,,16%," 3,500,386,207 "," 4,016,400,000 "," 789,793,103 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,1/15/16," 1,400,000 ",3736.4,4099.3,1201,,16%," 3,736,400,000 "," 4,099,300,000 "," 1,201,000,000 ", 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,12/15/15," 1,390,000 ",3713.8,4772,843,,16%," 3,713,800,000 "," 4,772,000,000 "," 843,000,000 ", 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,11/15/15," 1,390,000 ",3875.9,5148.6,847,,16%," 3,875,900,000 "," 5,148,600,000 "," 847,000,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,10/15/15," 1,390,000 ",4881,6175,995,,16%," 4,881,000,000 "," 6,175,000,000 "," 995,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,9/15/15," 1,390,000 ",5060.7,6528.4,1001.5,,16%," 5,060,700,000 "," 6,528,400,000 "," 1,001,500,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,8/15/15," 1,390,000 ",5250.5,7172.3,997.2,,16%," 5,250,500,000 "," 7,172,300,000 "," 997,200,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,7/15/15," 1,390,000 ",5148.5,7452.2,955,,16%," 5,148,500,000 "," 7,452,200,000 "," 955,000,000 ", 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/15," 1,390,000 ",4778.2,6927.5,908.8,,16%," 4,778,200,000 "," 6,927,500,000 "," 908,800,000 ", 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,5/15/15," 1,390,000 ",4657.7,6716.5,,,NULL," 4,657,700,000 "," 6,716,500,000 ", Null , 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,4/15/15," 1,390,000 ",4456.9,5417.5,,,NULL," 4,456,900,000 "," 5,417,500,000 ", Null , 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,3/15/15," 1,390,000 ",4650.2,4927.5,,,NULL," 4,650,200,000 "," 4,927,500,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,2/15/15," 1,390,000 ",3765.9,4016.4,,,NULL," 3,765,900,000 "," 4,016,400,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,,1/15/15," 1,390,000 ",4096.2,4099.3,,,NULL," 4,096,200,000 "," 4,099,300,000 ", Null , 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,12/15/14," 1,379,000 ",3839,4772,,,NULL," 3,839,000,000 "," 4,772,000,000 ", Null , 62 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,11/15/14," 1,379,000 ",4195.4,5148.6,,,NULL," 4,195,400,000 "," 5,148,600,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,10/15/14," 1,379,000 ",5370.6,6175,,,NULL," 5,370,600,000 "," 6,175,000,000 ", Null , 60 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,9/15/14," 1,379,000 ",5682.9,6528.4,,,NULL," 5,682,900,000 "," 6,528,400,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,8/15/14," 1,379,000 ",6222,7172.3,,,NULL," 6,222,000,000 "," 7,172,300,000 ", Null , 61 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,7/15/14," 1,330,000 ",6590.1,7452.8,,,NULL," 6,590,100,000 "," 7,452,800,000 ", Null , 69 ,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/14," 1,330,000 ",6365.4,7025.7,,,NULL," 6,365,400,000 "," 7,025,700,000 ", Null , 69 ,San Francisco Bay
Morro Bay  City of,Yes,10/15/16," 10,608 ",28539498,37234272,10548297,0,0%," 28,539,498 "," 37,234,272 "," 10,548,297 ", 65 ,Central Coast
Morro Bay  City of,Yes,9/15/16," 10,284 ",28777427,36627545,10121885,0,0%," 28,777,427 "," 36,627,545 "," 10,121,885 ", 65 ,Central Coast
Morro Bay  City of,Yes,8/15/16," 10,284 ",30608028,40528972,11041976,0,0%," 30,608,028 "," 40,528,972 "," 11,041,976 ", 65 ,Central Coast
Morro Bay  City of,Yes,7/15/16," 10,284 ",31975594,42026752,11431685,0,0%," 31,975,594 "," 42,026,752 "," 11,431,685 ", 66 ,Central Coast
Morro Bay  City of,Yes,6/15/16," 10,284 ",29421802,36565077,11471328,0,0%," 29,421,802 "," 36,565,077 "," 11,471,328 ", 66 ,Central Coast
Morro Bay  City of,Yes,5/15/16," 10,284 ",28468458,33911021,9212368,0,12%," 28,468,458 "," 33,911,021 "," 9,212,368 ", 65 ,Central Coast
Morro Bay  City of,Yes,4/15/16," 10,284 ",25679413,28928011,8941592,0,12%," 25,679,413 "," 28,928,011 "," 8,941,592 ", 67 ,Central Coast
Morro Bay  City of,Yes,3/15/16," 10,284 ",24876688,31277518,7048405,0,12%," 24,876,688 "," 31,277,518 "," 7,048,405 ", 69 ,Central Coast
Morro Bay  City of,Yes,2/15/16," 10,284 ",23427690,25941318,5715468,0,12%," 22,619,839 "," 25,941,318 "," 5,518,383 ", 71 ,Central Coast
Morro Bay  City of,Yes,1/15/16," 10,284 ",24343394,30427517,8070172,0,12%," 24,343,394 "," 30,427,517 "," 8,070,172 ", 68 ,Central Coast
Morro Bay  City of,Yes,12/15/15," 10,234 ",25226154,33999367,7420908,0,12%," 25,226,154 "," 33,999,367 "," 7,420,908 ", 67 ,Central Coast
Morro Bay  City of,Yes,11/15/15," 10,234 ",28815483,33485435,8188096,0,12%," 28,815,483 "," 33,485,435 "," 8,188,096 ", 65 ,Central Coast
Morro Bay  City of,Yes,10/15/15," 10,234 ",29133677,37234272,7829316,0,12%," 29,133,677 "," 37,234,272 "," 7,829,316 ", 65 ,Central Coast
Morro Bay  City of,Yes,9/15/15," 10,234 ",30354644,36627545,8659596,0,12%," 30,354,644 "," 36,627,545 "," 8,659,596 ", 61 ,Central Coast
Morro Bay  City of,Yes,8/15/15," 10,234 ",32579005,40528972,11604472,,12%," 32,579,005 "," 40,528,972 "," 11,604,472 ", 63 ,Central Coast
Morro Bay  City of,Yes,7/15/15," 10,234 ",32318984,42026752,9604320,0,12%," 32,318,984 "," 42,026,752 "," 9,604,320 ", 63 ,Central Coast
Morro Bay  City of,Yes,6/15/15," 10,234 ",32189607,36565077,10424128,,12%," 32,189,607 "," 36,565,077 "," 10,424,128 ", 63 ,Central Coast
Morro Bay  City of,Yes,5/15/15," 10,234 ",29893170,36927203,9627508,,NULL," 29,893,170 "," 36,927,203 "," 9,627,508 ", 64 ,Central Coast
Morro Bay  City of,Yes,4/15/15," 10,234 ",29362580,28928011,,,NULL," 29,362,580 "," 28,928,011 ", Null , 66 ,Central Coast
Morro Bay  City of,Yes,3/15/15," 10,234 ",29893871,31277518,,,NULL," 29,893,871 "," 31,277,518 ", Null , 69 ,Central Coast
Morro Bay  City of,Yes,2/15/15," 10,234 ",25004393,25941318,,,NULL," 25,004,393 "," 25,941,318 ", Null , 69 ,Central Coast
Morro Bay  City of,Yes,1/15/15," 10,234 ",29586922,30427517,,,NULL," 29,586,922 "," 30,427,517 ", Null , 71 ,Central Coast
Morro Bay  City of,Yes,12/15/14," 10,234 ",26365763,33999367,,,NULL," 26,365,763 "," 33,999,367 ", Null , 68 ,Central Coast
Morro Bay  City of,Yes,11/15/14," 10,234 ",27062107,33485435,,,NULL," 27,062,107 "," 33,485,435 ", Null , 67 ,Central Coast
Morro Bay  City of,Yes,10/15/14," 10,234 ",32547457,37234272,,,NULL," 32,547,457 "," 37,234,272 ", Null , 65 ,Central Coast
Morro Bay  City of,Yes,9/15/14," 10,234 ",32804911,36627545,,,NULL," 32,804,911 "," 36,627,545 ", Null , 65 ,Central Coast
Morro Bay  City of,Yes,8/15/14," 10,461 ",35695596,40528972,,,NULL," 35,695,596 "," 40,528,972 ", Null , 64 ,Central Coast
Morro Bay  City of,Yes,7/15/14," 10,608 ",37625206,42026752,,,NULL," 37,625,206 "," 42,026,752 ", Null , 61 ,Central Coast
Morro Bay  City of,Yes,6/15/14," 10,234 ",34544401,36565077,,,NULL," 34,544,401 "," 36,565,077 ", Null , 66 ,Central Coast
Yorba Linda Water District,Yes,10/15/16," 78,539 ",1456.45,1953.5,118.71,,0%," 474,586,311 "," 636,550,763 "," 38,681,823 ", 74 ,South Coast
Yorba Linda Water District,Yes,9/15/16," 78,539 ",1649.09,2236.5,157.14,,0%," 537,358,330 "," 728,766,716 "," 51,204,293 ", 74 ,South Coast
Yorba Linda Water District,Yes,8/15/16," 71,796 ",1793.74,2355.9,148.93,,0%," 584,492,739 "," 767,673,377 "," 48,529,053 ", 74 ,South Coast
Yorba Linda Water District,Yes,7/15/16," 78,539 ",1707.64,2348.8,187.77,,0%," 556,436,931 "," 765,359,832 "," 61,185,122 ", 74 ,South Coast
Yorba Linda Water District,Yes,6/15/16," 78,539 ",1458.72,2185,146.6,,0%," 475,325,994 "," 711,985,368 "," 47,769,819 ", 74 ,South Coast
Yorba Linda Water District,Yes,5/15/16," 78,539 ",1348.31,2107.4,106.46,,28%," 439,348,738 "," 686,699,297 "," 34,690,143 ", 74 ,South Coast
Yorba Linda Water District,Yes,4/15/16," 78,539 ",1146.21,1791.2,98.05,,28%," 373,494,164 "," 583,665,076 "," 31,949,732 ", 74 ,South Coast
Yorba Linda Water District,Yes,3/15/16," 78,539 ",903.03,1546.1,109.86,,28%," 294,253,614 "," 503,798,891 "," 35,798,038 ", 74 ,South Coast
Yorba Linda Water District,Yes,2/15/16," 78,539 ",964.97,1254.9,89.95,,36%," 303,594,201 "," 408,910,956 "," 28,299,635 ", 74 ,South Coast
Yorba Linda Water District,Yes,1/15/16," 78,539 ",793.87,1155.6,75.1,,36%," 258,683,672 "," 376,553,909 "," 24,471,442 ", 74 ,South Coast
Yorba Linda Water District,Yes,12/15/15," 73,990 ",1003.83,1437.7,120,,36%," 327,099,438 "," 468,476,597 "," 39,102,171 ", 74 ,South Coast
Yorba Linda Water District,Yes,11/15/15," 73,990 ",1173.51,1584.3,101.51,,36%," 382,389,908 "," 516,246,416 "," 33,077,178 ", 74 ,South Coast
Yorba Linda Water District,Yes,10/15/15," 72,500 ",1264.98,1953.5,111.83,,36%," 412,195,538 "," 636,550,763 "," 36,439,965 ", 74 ,South Coast
Yorba Linda Water District,Yes,9/15/15," 72,500 ",1259.22,2236.5,145.5,,36%," 410,318,634 "," 728,766,716 "," 47,411,383 ", 74 ,South Coast
Yorba Linda Water District,Yes,8/15/15," 72,500 ",1379.97,2355.9,122.9,,36%," 449,665,194 "," 767,673,377 "," 40,047,140 ", 74 ,South Coast
Yorba Linda Water District,Yes,7/15/15," 72,500 ",1329.94,2348.8,145.43,,36%," 433,362,847 "," 765,359,832 "," 47,388,573 ", 74 ,South Coast
Yorba Linda Water District,Yes,6/15/15," 72,500 ",1357.8,2185,141.56,,36%," 442,441,068 "," 711,985,368 "," 46,127,528 ", 74 ,South Coast
Yorba Linda Water District,Yes,5/15/15," 73,500 ",1223.25,1893.17,114.06,,NULL," 398,597,758 "," 616,892,146 "," 37,166,614 ", 74 ,South Coast
Yorba Linda Water District,Yes,4/15/15," 72,500 ",1422.24,1588.61,,,NULL," 463,438,934 "," 517,650,835 ", Null , 74 ,South Coast
Yorba Linda Water District,Yes,3/15/15," 73,990 ",860.6,882.5,,,NULL," 280,427,738 "," 287,563,884 ", Null , 100 ,South Coast
Yorba Linda Water District,Yes,2/15/15," 72,399 ",1248.1,1254.9,,,NULL," 406,695,166 "," 408,910,956 ", Null , 75 ,South Coast
Yorba Linda Water District,Yes,1/15/15," 72,399 ",1228.3,1155.6,,,NULL," 400,243,308 "," 376,553,909 ", Null , 80 ,South Coast
Yorba Linda Water District,Yes,12/15/14," 72,399 ",862.2,1437.7,,,NULL," 280,949,100 "," 468,476,597 ", Null , 76 ,South Coast
Yorba Linda Water District,Yes,11/15/14," 72,399 ",1520.3,1584.3,,,NULL," 495,391,924 "," 516,246,416 ", Null , 74 ,South Coast
Yorba Linda Water District,Yes,10/15/14," 72,399 ",1922.8,1953.5,,,NULL," 626,547,124 "," 636,550,763 ", Null , 72 ,South Coast
Yorba Linda Water District,Yes,9/15/14," 72,399 ",2077.3,2236.5,,,NULL," 676,891,169 "," 728,766,716 ", Null , 71 ,South Coast
Yorba Linda Water District,Yes,8/15/14," 73,990 ",2227.9,2355.9,,,NULL," 725,964,394 "," 767,673,377 ", Null , 67 ,South Coast
Yorba Linda Water District,Yes,7/15/14," 73,990 ",2352.1,2348.8,,,NULL," 766,435,141 "," 765,359,832 ", Null , 68 ,South Coast
Yorba Linda Water District,Yes,6/15/14," 73,990 ",2298.3,2185,,,NULL," 748,904,335 "," 711,985,368 ", Null , 67 ,South Coast
Long Beach  City of,Yes,10/15/16," 487,339 ",4572,5324,1577,,0%," 1,489,792,724 "," 1,734,832,997 "," 513,867,700 ", 65 ,South Coast
Long Beach  City of,Yes,9/15/16," 487,074 ",4660,5463,1806,,0%," 1,518,467,650 "," 1,780,126,346 "," 588,487,677 ", 64 ,South Coast
Long Beach  City of,Yes,8/15/16," 486,810 ",4907,5648,1243,,0%," 1,598,952,952 "," 1,840,408,860 "," 405,033,324 ", 69 ,South Coast
Long Beach  City of,Yes,7/15/16," 478,306 ",4904,5598,1125,,0%," 1,597,975,398 "," 1,824,116,288 "," 366,582,855 ", 61 ,South Coast
Long Beach  City of,Yes,6/15/16," 486,281 ",4565,5417,1467,,0%," 1,487,511,764 "," 1,765,137,180 "," 478,024,043 ", 68 ,South Coast
Long Beach  City of,Yes,5/15/16," 486,016 ",4414,5313,1111,,9%," 1,438,308,199 "," 1,731,248,632 "," 362,020,935 ", 59 ,South Coast
Long Beach  City of,Yes,4/15/16," 485,752 ",4126,4945,1176,0,9%," 1,344,462,988 "," 1,611,335,307 "," 383,201,278 ", 63 ,South Coast
Long Beach  City of,Yes,3/15/16," 485,487 ",3991,4735,1175,0,9%," 1,300,473,045 "," 1,542,906,507 "," 382,875,427 ", 69 ,South Coast
Long Beach  City of,Yes,2/15/16," 485,223 ",3846,4022,1119,0,16%," 1,210,009,947 "," 1,310,574,439 "," 352,054,376 ", 60 ,South Coast
Long Beach  City of,Yes,1/15/16," 484,958 ",3771,4337,1119,0,16%," 1,228,785,731 "," 1,413,217,639 "," 364,627,747 ", 66 ,South Coast
Long Beach  City of,Yes,12/15/15," 484,694 ",4080,4525,1253,0,16%," 1,329,473,822 "," 1,474,477,707 "," 408,291,838 ", 73 ,South Coast
Long Beach  City of,Yes,11/15/15," 484,429 ",4169,4715,1109,0,16%," 1,358,474,599 "," 1,536,389,478 "," 361,369,233 ", 56 ,South Coast
Long Beach  City of,Yes,10/15/15," 484,165 ",4457,5324,1427,0,16%," 1,452,319,810 "," 1,734,832,997 "," 464,989,986 ", 68 ,South Coast
Long Beach  City of,Yes,9/15/15," 483,900 ",4445,5463,1462,0,16%," 1,448,409,593 "," 1,780,126,346 "," 476,394,786 ", 68 ,South Coast
Long Beach  City of,Yes,8/15/15," 483,636 ",4645,5648,1238,0,16%," 1,513,579,878 "," 1,840,408,860 "," 403,404,067 ", 58 ,South Coast
Long Beach  City of,Yes,7/15/15," 483,371 ",4538,5598,1427,0,16%," 1,478,713,776 "," 1,824,116,288 "," 464,989,986 ", 69 ,South Coast
Long Beach  City of,Yes,6/15/15," 483,107 ",4368,5417,1366,0,16%," 1,423,319,033 "," 1,765,137,180 "," 445,113,049 ", 69 ,South Coast
Long Beach  City of,Yes,5/15/15," 482,842 ",4273,5313,1287,,NULL," 1,392,363,148 "," 1,731,248,632 "," 419,370,787 ", 62 ,South Coast
Long Beach  City of,Yes,4/15/15," 482,578 ",4647,4945,,,NULL," 1,514,231,581 "," 1,611,335,307 ", Null , 61 ,South Coast
Long Beach  City of,Yes,3/15/15," 482,313 ",4613,4735,,,NULL," 1,503,152,633 "," 1,542,906,507 ", Null , 58 ,South Coast
Long Beach  City of,Yes,2/15/15," 482,049 ",3966,4022,,,NULL," 1,292,326,759 "," 1,310,574,439 ", Null , 67 ,South Coast
Long Beach  City of,Yes,1/15/15," 481,784 ",4189,4337,,,NULL," 1,364,991,628 "," 1,413,217,639 ", Null , 65 ,South Coast
Long Beach  City of,Yes,12/15/14," 481,607 ",3996,4525,,,NULL," 1,302,102,302 "," 1,474,477,707 ", Null , 71 ,South Coast
Long Beach  City of,Yes,11/15/14," 481,430 ",4471,4715,,,NULL," 1,456,881,730 "," 1,536,389,478 ", Null , 65 ,South Coast
Long Beach  City of,Yes,10/15/14," 481,253 ",4955,5324,,,NULL," 1,614,593,821 "," 1,734,832,997 ", Null , 61 ,South Coast
Long Beach  City of,Yes,9/15/14," 481,076 ",5113,5463,,,NULL," 1,666,078,346 "," 1,780,126,346 ", Null , 68 ,South Coast
Long Beach  City of,Yes,8/15/14," 480,899 ",5264,5648,,,NULL," 1,715,281,912 "," 1,840,408,860 ", Null , 64 ,South Coast
Long Beach  City of,Yes,7/15/14," 480,722 ",5359,5598,,,NULL," 1,746,237,797 "," 1,824,116,288 ", Null , 70 ,South Coast
Long Beach  City of,Yes,6/15/14," 480,545 ",5190,5417,,,NULL," 1,691,168,906 "," 1,765,137,180 ", Null , 64 ,South Coast
"Los Banos, City of",Yes,10/15/16," 37,168 ",200410000,234625000,,,24%," 200,410,000 "," 234,625,000 ", Null , 69 ,San Joaquin River
"Los Banos, City of",Yes,9/15/16," 37,168 ",230852000,285852000,,,24%," 230,852,000 "," 285,852,000 ", Null , 69 ,San Joaquin River
"Los Banos, City of",Yes,8/15/16," 37,168 ",260144000,324811000,,,24%," 260,144,000 "," 324,811,000 ", Null , 64 ,San Joaquin River
"Los Banos, City of",Yes,7/15/16," 37,168 ",271946000,337551000,,,24%," 271,946,000 "," 337,551,000 ", Null , 58 ,San Joaquin River
"Los Banos, City of",Yes,6/15/16," 37,168 ",237304000,321727000,,,24%," 237,304,000 "," 321,727,000 ", Null , 58 ,San Joaquin River
"Los Banos, City of",Yes,5/15/16," 37,168 ",193619000,300515000,,,24%," 193,619,000 "," 300,515,000 ", Null , 52 ,San Joaquin River
"Los Banos, City of",Yes,4/15/16," 37,168 ",158425000,224680000,,,24%," 158,425,000 "," 224,680,000 ", Null , 52 ,San Joaquin River
"Los Banos, City of",Yes,3/15/16," 37,168 ",118438000,186188000,,,24%," 118,438,000 "," 186,188,000 ", Null , 61 ,San Joaquin River
"Los Banos, City of",Yes,2/15/16," 37,168 ",108753000,123565000,,,28%," 105,002,897 "," 123,565,000 ", Null , 66 ,San Joaquin River
"Los Banos, City of",Yes,1/15/16," 37,168 ",114130000,121426000,,,28%," 114,130,000 "," 121,426,000 ", Null , 65 ,San Joaquin River
"Los Banos, City of",Yes,12/15/15," 37,168 ",119980000,124110000,,,28%," 119,980,000 "," 124,110,000 ", Null , 65 ,San Joaquin River
"Los Banos, City of",Yes,11/15/15," 37,168 ",129662000,180075000,,,28%," 129,662,000 "," 180,075,000 ", Null , 83 ,San Joaquin River
"Los Banos, City of",Yes,10/15/15," 37,168 ",183481000,234625000,,,28%," 183,481,000 "," 234,625,000 ", Null , 72 ,San Joaquin River
"Los Banos, City of",Yes,9/15/15," 37,168 ",216686000,285980000,,,28%," 216,686,000 "," 285,980,000 ", Null , 69 ,San Joaquin River
"Los Banos, City of",Yes,8/15/15," 37,168 ",244793000,324811000,,,28%," 244,793,000 "," 324,811,000 ", Null , 64 ,San Joaquin River
"Los Banos, City of",Yes,7/15/15," 37,168 ",243944000,337551000,,,28%," 243,944,000 "," 337,551,000 ", Null , 63 ,San Joaquin River
"Los Banos, City of",Yes,6/15/15," 37,168 ",237081000,321727000,,,28%," 237,081,000 "," 321,727,000 ", Null , 60 ,San Joaquin River
"Los Banos, City of",Yes,5/15/15," 37,168 ",194652000,300515000,,,NULL," 194,652,000 "," 300,515,000 ", Null , 63 ,San Joaquin River
"Los Banos, City of",Yes,4/15/15," 37,168 ",187216000,224680000,,,NULL," 187,216,000 "," 224,680,000 ", Null , 62 ,San Joaquin River
"Los Banos, City of",Yes,3/15/15," 37,168 ",166417000,186188000,,,NULL," 166,417,000 "," 186,188,000 ", Null , 48 ,San Joaquin River
"Los Banos, City of",Yes,2/15/15," 37,168 ",117939000,123565000,,,NULL," 117,939,000 "," 123,565,000 ", Null , 69 ,San Joaquin River
"Los Banos, City of",Yes,1/15/15," 37,168 ",127196000,121426000,,,NULL," 127,196,000 "," 121,426,000 ", Null , 63 ,San Joaquin River
"Los Banos, City of",Yes,12/15/14," 37,168 ",127370000,124110000,,,NULL," 127,370,000 "," 124,110,000 ", Null , 68 ,San Joaquin River
"Los Banos, City of",Yes,11/15/14," 37,168 ",148411000,180075000,,,NULL," 148,411,000 "," 180,075,000 ", Null , 89 ,San Joaquin River
"Los Banos, City of",Yes,10/15/14," 37,168 ",227812000,234625000,,,NULL," 227,812,000 "," 234,625,000 ", Null , 67 ,San Joaquin River
"Los Banos, City of",Yes,9/15/14," 37,168 ",252715000,285980000,,,NULL," 252,715,000 "," 285,980,000 ", Null , 70 ,San Joaquin River
"Los Banos, City of",Yes,8/15/14," 37,168 ",291669000,324811000,,,NULL," 291,669,000 "," 324,811,000 ", Null , 66 ,San Joaquin River
"Los Banos, City of",Yes,7/15/14," 37,168 ",311181000,337551000,,,NULL," 311,181,000 "," 337,551,000 ", Null , 63 ,San Joaquin River
"Los Banos, City of",Yes,6/15/14," 37,168 ",300808000,321727000,,,NULL," 300,808,000 "," 321,727,000 ", Null , 63 ,San Joaquin River
Turlock  City of,Yes,10/15/16," 72,050 ",517.64,638.18,151.49,,16%," 517,640,000 "," 638,180,000 "," 151,490,000 ", 54 ,San Joaquin River
Turlock  City of,Yes,9/15/16," 72,050 ",600.72,745.22,147.53,,16%," 600,720,000 "," 745,220,000 "," 147,530,000 ", 56 ,San Joaquin River
Turlock  City of,Yes,8/15/16," 72,050 ",682.18,808.81,148.95,,16%," 682,180,000 "," 808,810,000 "," 148,950,000 ", 54 ,San Joaquin River
Turlock  City of,Yes,7/15/16," 72,050 ",699.14,927.17,174.7,,16%," 699,140,000 "," 927,170,000 "," 174,700,000 ", 56 ,San Joaquin River
Turlock  City of,Yes,6/15/16," 72,050 ",649.73,748.13,136.42,,16%," 649,730,000 "," 748,130,000 "," 136,420,000 ", 56 ,San Joaquin River
Turlock  City of,Yes,5/15/16," 72,050 ",536.78,765.65,129.11,,29%," 536,780,000 "," 765,650,000 "," 129,110,000 ", 55 ,San Joaquin River
Turlock  City of,Yes,4/15/16," 71,181 ",415.878977,612.4505,132.94,,29%," 415,878,977 "," 612,450,500 "," 132,940,000 ", 51 ,San Joaquin River
Turlock  City of,Yes,3/15/16," 71,181 ",322.54,482.38,120.35,,29%," 322,540,000 "," 482,380,000 "," 120,350,000 ", 49 ,San Joaquin River
Turlock  City of,Yes,2/15/16," 71,181 ",299.94,322.46,114.39,,32%," 289,597,241 "," 322,460,000 "," 110,445,517 ", 47 ,San Joaquin River
Turlock  City of,Yes,1/15/16," 71,181 ",288.71,340.36,112.29,,32%," 288,710,000 "," 340,360,000 "," 112,290,000 ", 48 ,San Joaquin River
Turlock  City of,Yes,12/15/15," 71,181 ",309.397427,463.5907,114.1939,,32%," 309,397,427 "," 463,590,700 "," 114,193,900 ", 48 ,San Joaquin River
Turlock  City of,Yes,11/15/15," 71,181 ",349.32,521.89,127.24,,32%," 349,320,000 "," 521,890,000 "," 127,240,000 ", 50 ,San Joaquin River
Turlock  City of,Yes,10/15/15," 71,181 ",510.31,638.18,146.22,,32%," 510,310,000 "," 638,180,000 "," 146,220,000 ", 52 ,San Joaquin River
Turlock  City of,Yes,9/15/15," 71,181 ",549.4,745.22,135.17,,32%," 549,400,000 "," 745,220,000 "," 135,170,000 ", 56 ,San Joaquin River
Turlock  City of,Yes,8/15/15," 71,181 ",596.21,808.81,148.94,,32%," 596,210,000 "," 808,810,000 "," 148,940,000 ", 61 ,San Joaquin River
Turlock  City of,Yes,7/15/15," 71,181 ",602.9,927.2,147.4,,32%," 602,900,000 "," 927,200,000 "," 147,400,000 ", 57 ,San Joaquin River
Turlock  City of,Yes,6/15/15," 71,181 ",604.2774,748.1345,133.918303,,32%," 604,277,400 "," 748,134,500 "," 133,918,303 ", 54 ,San Joaquin River
Turlock  City of,Yes,5/15/15," 71,181 ",476.28,765.65,168.48,,NULL," 476,280,000 "," 765,650,000 "," 168,480,000 ", 62 ,San Joaquin River
Turlock  City of,Yes,4/15/15," 71,181 ",497.77,612.45,,,NULL," 497,770,000 "," 612,450,000 ", Null , 54 ,San Joaquin River
Turlock  City of,Yes,3/15/15," 71,181 ",473,482.4,,,NULL," 473,000,000 "," 482,400,000 ", Null , 51 ,San Joaquin River
Turlock  City of,Yes,2/15/15," 71,181 ",294.8,378.4,,,NULL," 294,800,000 "," 378,400,000 ", Null , 53 ,San Joaquin River
Turlock  City of,Yes,1/15/15," 71,181 ",298.3,340.4,,,NULL," 298,300,000 "," 340,400,000 ", Null , 56 ,San Joaquin River
Turlock  City of,Yes,12/15/14," 71,181 ",301,463.6,,,NULL," 301,000,000 "," 463,600,000 ", Null , 53 ,San Joaquin River
Turlock  City of,Yes,11/15/14," 71,181 ",413,521.9,,,NULL," 413,000,000 "," 521,900,000 ", Null , 51 ,San Joaquin River
Turlock  City of,Yes,10/15/14," 70,132 ",601.6,638.2,,,NULL," 601,600,000 "," 638,200,000 ", Null , 55 ,San Joaquin River
Turlock  City of,Yes,9/15/14," 71,181 ",708.4,745.2,,,NULL," 708,400,000 "," 745,200,000 ", Null , 52 ,San Joaquin River
