Supplier Name,Mandatory Restrictions,Reporting Month,Total Population Served,Conservation Standard (starting in June 2015) *Adjusted in March 2016 **Revised in June 2016, REPORTED Total Monthly Potable Water Production Reporting Month ,REPORTED Monthly CII,REPORTED Monthly Ag Use Reporting Month,CALCULATED Total Monthly Potable Water Production Reporting Month Gallons,CALCULATED Total Monthly Potable Water Production 2013 Gallons,CALCULATED Monthly CII Reporting Month,CALCULATED R-GPCD Reporting Month,% Residential Use,Hydrologic Region
East Bay Municipal Utilities District,No,9/15/16,1400000,0%,5636.2,912,,5636200000,6528400000,912000000,81.9,61,San Francisco Bay
East Bay Municipal Utilities District,No,8/15/16,1400000,0%,6007.5,1141,,6007500000,7172300000,1141000000,84.4,61,San Francisco Bay
East Bay Municipal Utilities District,No,7/15/16,1400000,0%,6056.6,994,,6056600000,7452200000,994000000,83.7,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/16,1400000,0%,5675.9,839,,5675900000,6927500000,839000000,82.4,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,5/15/16,1400000,16%,4959.3,955,,4959300000,6716500000,955000000,68.6,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,4/15/16,1400000,16%,4018.8,830,,4018800000,5417500000,830000000,59.3,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,3/15/16,1400000,16%,3765.6,810,,3765600000,4927500000,810000000,52.9,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,2/15/16,1400000,16%,3625.4,818,,3500386207,4016400000,789793103.5,54.5,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,1/15/16,1400000,16%,3736.4,1201,,3736400000,4099300000,1201000000,53.4,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,12/15/15,1390000,16%,3713.8,843,,3713800000,4772000000,843000000,53.4,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,11/15/15,1390000,16%,3875.9,847,,3875900000,5148600000,847000000,56.7,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,10/15/15,1390000,16%,4881,995,,4881000000,6175000000,995000000,68,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,9/15/15,1390000,16%,5060.7,1001.5,,5060700000,6528400000,1001500000,74,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,8/15/15,1390000,16%,5250.5,997.2,,5250500000,7172300000,997200000,74.3,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,7/15/15,1390000,16%,5148.5,955,,5148500000,7452200000,955000000,71.7,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/15,1390000,16%,4778.2,908.8,,4778200000,6927500000,908800000,69.9,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,5/15/15,1390000,NULL,4657.7,,,4657700000,6716500000,Null,64.9,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,4/15/15,1390000,NULL,4456.9,,,4456900000,5417500000,Null,66.3,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,3/15/15,1390000,NULL,4650.2,,,4650200000,4927500000,Null,65.8,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,2/15/15,1390000,NULL,3765.9,,,3765900000,4016400000,Null,59,61,San Francisco Bay
East Bay Municipal Utilities District,,1/15/15,1390000,NULL,4096.2,,,4096200000,4099300000,Null,58.9,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,12/15/14,1379000,NULL,3839,,,3839000000,4772000000,Null,55.7,62,San Francisco Bay
East Bay Municipal Utilities District,Yes,11/15/14,1379000,NULL,4195.4,,,4195400000,5148600000,Null,61.9,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,10/15/14,1379000,NULL,5370.6,,,5370600000,6175000000,Null,75.4,60,San Francisco Bay
East Bay Municipal Utilities District,Yes,9/15/14,1379000,NULL,5682.9,,,5682900000,6528400000,Null,83.8,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,8/15/14,1379000,NULL,6222,,,6222000000,7172300000,Null,88.8,61,San Francisco Bay
East Bay Municipal Utilities District,Yes,7/15/14,1330000,NULL,6590.1,,,6590100000,7452800000,Null,110.3,69,San Francisco Bay
East Bay Municipal Utilities District,Yes,6/15/14,1330000,NULL,6365.4,,,6365400000,7025700000,Null,110.1,69,San Francisco Bay
Morro Bay  City of,Yes,9/15/16,10284,0%,28777427,10121885,0,28777427,36627545,10121885,60.7,65,Central Coast
Morro Bay  City of,Yes,8/15/16,10284,0%,30608028,11041976,0,30608028,40528972,11041976,62.6,65,Central Coast
Morro Bay  City of,Yes,7/15/16,10284,0%,31975594,11431685,0,31975594,42026752,11431685,66.6,66,Central Coast
Morro Bay  City of,Yes,6/15/16,10284,0%,29421802,11471328,0,29421802,36565077,11471328,63.4,66,Central Coast
Morro Bay  City of,Yes,5/15/16,10284,12%,28468458,9212368,0,28468458,33911021,9212368,58.2,65,Central Coast
Morro Bay  City of,Yes,4/15/16,10284,12%,25679413,8941592,0,25679413,28928011,8941592,56.1,67,Central Coast
Morro Bay  City of,Yes,3/15/16,10284,12%,24876688,7048405,0,24876688,31277518,7048405,53.8,69,Central Coast
Morro Bay  City of,Yes,2/15/16,10284,12%,23427690,5715468,0,22619838.62,25941318,5518382.9,55.6,71,Central Coast
Morro Bay  City of,Yes,1/15/16,10284,12%,24343394,8070172,0,24343394,30427517,8070172,52.2,68,Central Coast
Morro Bay  City of,Yes,12/15/15,10234,12%,25226154,7420908,0,25226154,33999367,7420908,53.3,67,Central Coast
Morro Bay  City of,Yes,11/15/15,10234,12%,28815483,8188096,0,28815483,33485435,8188096,60.7,65,Central Coast
Morro Bay  City of,Yes,10/15/15,10234,12%,29133677,7829316,0,29133677,37234272,7829316,59.3,65,Central Coast
Morro Bay  City of,Yes,9/15/15,10234,12%,30354644,8659596,0,30354644,36627545,8659596,60.7,61,Central Coast
Morro Bay  City of,Yes,8/15/15,10234,12%,32579005,11604472,,32579005,40528972,11604472,64.2,63,Central Coast
Morro Bay  City of,Yes,7/15/15,10234,12%,32318984,9604320,0,32318984,42026752,9604320,64.5,63,Central Coast
Morro Bay  City of,Yes,6/15/15,10234,12%,32189607,10424128,,32189607,36565077,10424128,66.1,63,Central Coast
Morro Bay  City of,Yes,5/15/15,10234,NULL,29893170,9627508,,29893170,36927203,9627508,60.3,64,Central Coast
Morro Bay  City of,Yes,4/15/15,10234,NULL,29362580,,,29362580,28928011,Null,62.8,66,Central Coast
Morro Bay  City of,Yes,3/15/15,10234,NULL,29893871,,,29893871,31277518,Null,65,69,Central Coast
Morro Bay  City of,Yes,2/15/15,10234,NULL,25004393,,,25004393,25941318,Null,60.2,69,Central Coast
Morro Bay  City of,Yes,1/15/15,10234,NULL,29586922,,,29586922,30427517,Null,66.2,71,Central Coast
Morro Bay  City of,Yes,12/15/14,10234,NULL,26365763,,,26365763,33999367,Null,56.5,68,Central Coast
Morro Bay  City of,Yes,11/15/14,10234,NULL,27062107,,,27062107,33485435,Null,59.1,67,Central Coast
Morro Bay  City of,Yes,10/15/14,10234,NULL,32547457,,,32547457,37234272,Null,66.7,65,Central Coast
Morro Bay  City of,Yes,9/15/14,10234,NULL,32804911,,,32804911,36627545,Null,69.5,65,Central Coast
Morro Bay  City of,Yes,8/15/14,10461,NULL,35695596,,,35695596,40528972,Null,70.4,64,Central Coast
Morro Bay  City of,Yes,7/15/14,10608,NULL,37625206,,,37625206,42026752,Null,70.1,61,Central Coast
Morro Bay  City of,Yes,6/15/14,10234,NULL,34544401,,,34544401,36565077,Null,74.6,66,Central Coast
Yorba Linda Water District,Yes,9/15/16,78539,0%,1649.09,157.14,,537358329.8,728766716.5,51204293.24,168.8,74,South Coast
Yorba Linda Water District,Yes,8/15/16,71796,0%,1793.74,148.93,,584492738.7,767673376.9,48529053.02,194.3,74,South Coast
Yorba Linda Water District,Yes,7/15/16,78539,0%,1707.64,187.77,,556436930.8,765359831.7,61185122.45,169.1,74,South Coast
Yorba Linda Water District,Yes,6/15/16,78539,0%,1458.72,146.6,,475325993.6,711985368,47769819.2,149.3,74,South Coast
Yorba Linda Water District,Yes,5/15/16,78539,28%,1348.31,106.46,,439348737.5,686699297.3,34690142.92,133.5,74,South Coast
Yorba Linda Water District,Yes,4/15/16,78539,28%,1146.21,98.05,,373494164.1,583665076,31949732.42,117.3,74,South Coast
Yorba Linda Water District,Yes,3/15/16,78539,28%,903.03,109.86,,294253614.1,503798891.3,35798037.77,89.4,74,South Coast
Yorba Linda Water District,Yes,2/15/16,78539,36%,964.97,89.95,,303594201.5,408910955.7,28299634.62,102.2,74,South Coast
Yorba Linda Water District,Yes,1/15/16,78539,36%,793.87,75.1,,258683672.4,376553909,24471442.17,78.6,74,South Coast
Yorba Linda Water District,Yes,12/15/15,73990,36%,1003.83,120,,327099438,468476596.6,39102171.24,105.5,74,South Coast
Yorba Linda Water District,Yes,11/15/15,73990,36%,1173.51,101.51,,382389908.1,516246415.8,33077178.35,127.5,74,South Coast
Yorba Linda Water District,Yes,10/15/15,72500,36%,1264.98,111.83,,412195538.1,636550762.6,36439965.08,135.7,74,South Coast
Yorba Linda Water District,Yes,9/15/15,72500,36%,1259.22,145.5,,410318633.9,728766716.5,47411382.63,139.6,74,South Coast
Yorba Linda Water District,Yes,8/15/15,72500,36%,1379.97,122.9,,449665193.7,767673376.9,40047140.38,148.1,74,South Coast
Yorba Linda Water District,Yes,7/15/15,72500,36%,1329.94,145.43,,433362846.8,765359831.7,47388573.03,142.7,74,South Coast
Yorba Linda Water District,Yes,6/15/15,72500,36%,1357.8,141.56,,442441067.6,711985368,46127528.01,150.5,74,South Coast
Yorba Linda Water District,Yes,5/15/15,73500,NULL,1223.25,114.06,,398597758.1,616892146.1,37166613.76,129.5,74,South Coast
Yorba Linda Water District,Yes,4/15/15,72500,NULL,1422.24,,,463438933.5,517650835.5,Null,157.7,74,South Coast
Yorba Linda Water District,Yes,3/15/15,73990,NULL,860.6,,,280427738.1,287563884.3,Null,122.3,100,South Coast
Yorba Linda Water District,Yes,2/15/15,72399,NULL,1248.1,,,406695166,408910955.7,Null,150.5,75,South Coast
Yorba Linda Water District,Yes,1/15/15,72399,NULL,1228.3,,,400243307.8,376553909,Null,142.7,80,South Coast
Yorba Linda Water District,Yes,12/15/14,72399,NULL,862.2,,,280949100.4,468476596.6,Null,95.1,76,South Coast
Yorba Linda Water District,Yes,11/15/14,72399,NULL,1520.3,,,495391924.5,516246415.8,Null,168.8,74,South Coast
Yorba Linda Water District,Yes,10/15/14,72399,NULL,1922.8,,,626547123.8,636550762.6,Null,201,72,South Coast
Yorba Linda Water District,Yes,9/15/14,72399,NULL,2077.3,,,676891169.3,728766716.5,Null,221.3,71,South Coast
Yorba Linda Water District,Yes,8/15/14,73990,NULL,2227.9,,,725964394.2,767673376.9,Null,212.1,67,South Coast
Yorba Linda Water District,Yes,7/15/14,73990,NULL,2352.1,,,766435141.5,765359831.7,Null,227.2,68,South Coast
Yorba Linda Water District,Yes,6/15/14,73990,NULL,2298.3,,,748904334.7,711985368,Null,226.1,67,South Coast
Long Beach  City of,Yes,9/15/16,487074,0%,4660,1806,,1518467650,1780126346,588487677.2,66.5,64,South Coast
Long Beach  City of,Yes,8/15/16,486810,0%,4907,1243,,1598952952,1840408860,405033323.8,73.1,69,South Coast
Long Beach  City of,Yes,7/15/16,478306,0%,4904,1125,,1597975398,1824116288,366582855.4,65.7,61,South Coast
Long Beach  City of,Yes,6/15/16,486281,0%,4565,1467,,1487511764,1765137180,478024043.4,69.3,68,South Coast
Long Beach  City of,Yes,5/15/16,486016,9%,4414,1111,,1438308199,1731248632,362020935.4,56.3,59,South Coast
Long Beach  City of,Yes,4/15/16,485752,9%,4126,1176,0,1344462988,1611335307,383201278.2,58.1,63,South Coast
Long Beach  City of,Yes,3/15/16,485487,9%,3991,1175,0,1300473045,1542906507,382875426.7,59.6,69,South Coast
Long Beach  City of,Yes,2/15/16,485223,16%,3846,1119,0,1210009947,1310574439,352054376.2,53.4,60,South Coast
Long Beach  City of,Yes,1/15/16,484958,16%,3771,1119,0,1228785731,1413217639,364627746.8,53.9,66,South Coast
Long Beach  City of,Yes,12/15/15,484694,16%,4080,1253,0,1329473822,1474477707,408291838,64.6,73,South Coast
Long Beach  City of,Yes,11/15/15,484429,16%,4169,1109,0,1358474599,1536389478,361369232.5,52.3,56,South Coast
Long Beach  City of,Yes,10/15/15,484165,16%,4457,1427,0,1452319810,1734832997,464989986.3,65.8,68,South Coast
Long Beach  City of,Yes,9/15/15,483900,16%,4445,1462,0,1448409593,1780126346,476394786.3,67.8,68,South Coast
Long Beach  City of,Yes,8/15/15,483636,16%,4645,1238,0,1513579878,1840408860,403404066.6,58.6,58,South Coast
Long Beach  City of,Yes,7/15/15,483371,16%,4538,1427,0,1478713776,1824116288,464989986.3,68.1,69,South Coast
Long Beach  City of,Yes,6/15/15,483107,16%,4368,1366,0,1423319033,1765137180,445113049.3,67.8,69,South Coast
Long Beach  City of,Yes,5/15/15,482842,NULL,4273,1287,,1392363148,1731248632,419370786.6,57.7,62,South Coast
Long Beach  City of,Yes,4/15/15,482578,NULL,4647,,,1514231581,1611335307,Null,63.8,61,South Coast
Long Beach  City of,Yes,3/15/15,482313,NULL,4613,,,1503152633,1542906507,Null,58.3,58,South Coast
Long Beach  City of,Yes,2/15/15,482049,NULL,3966,,,1292326759,1310574439,Null,64.2,67,South Coast
Long Beach  City of,Yes,1/15/15,481784,NULL,4189,,,1364991628,1413217639,Null,59.4,65,South Coast
Long Beach  City of,Yes,12/15/14,481607,NULL,3996,,,1302102302,1474477707,Null,61.9,71,South Coast
Long Beach  City of,Yes,11/15/14,481430,NULL,4471,,,1456881730,1536389478,Null,65.6,65,South Coast
Long Beach  City of,Yes,10/15/14,481253,NULL,4955,,,1614593821,1734832997,Null,66,61,South Coast
Long Beach  City of,Yes,9/15/14,481076,NULL,5113,,,1666078346,1780126346,Null,78.5,68,South Coast
Long Beach  City of,Yes,8/15/14,480899,NULL,5264,,,1715281912,1840408860,Null,73.6,64,South Coast
Long Beach  City of,Yes,7/15/14,480722,NULL,5359,,,1746237797,1824116288,Null,82,70,South Coast
Long Beach  City of,Yes,6/15/14,480545,NULL,5190,,,1691168906,1765137180,Null,75.1,64,South Coast
"Los Banos, City of",Yes,9/15/16,37168,24%,230852000,,,230852000,285852000,Null,142.9,69,San Joaquin River
"Los Banos, City of",Yes,8/15/16,37168,24%,260144000,,,260144000,324811000,Null,144.5,64,San Joaquin River
"Los Banos, City of",Yes,7/15/16,37168,24%,271946000,,,271946000,337551000,Null,136.9,58,San Joaquin River
"Los Banos, City of",Yes,6/15/16,37168,24%,237304000,,,237304000,321727000,Null,123.4,58,San Joaquin River
"Los Banos, City of",Yes,5/15/16,37168,24%,193619000,,,193619000,300515000,Null,87.4,52,San Joaquin River
"Los Banos, City of",Yes,4/15/16,37168,24%,158425000,,,158425000,224680000,Null,73.9,52,San Joaquin River
"Los Banos, City of",Yes,3/15/16,37168,24%,118438000,,,118438000,186188000,Null,62.7,61,San Joaquin River
"Los Banos, City of",Yes,2/15/16,37168,28%,108753000,,,105002896.6,123565000,Null,66.6,66,San Joaquin River
"Los Banos, City of",Yes,1/15/16,37168,28%,114130000,,,114130000,121426000,Null,64.4,65,San Joaquin River
"Los Banos, City of",Yes,12/15/15,37168,28%,119980000,,,119980000,124110000,Null,67.7,65,San Joaquin River
"Los Banos, City of",Yes,11/15/15,37168,28%,129662000,,,129662000,180075000,Null,96.5,83,San Joaquin River
"Los Banos, City of",Yes,10/15/15,37168,28%,183481000,,,183481000,234625000,Null,114.7,72,San Joaquin River
"Los Banos, City of",Yes,9/15/15,37168,28%,216686000,,,216686000,285980000,Null,134.1,69,San Joaquin River
"Los Banos, City of",Yes,8/15/15,37168,28%,244793000,,,244793000,324811000,Null,136,64,San Joaquin River
"Los Banos, City of",Yes,7/15/15,37168,28%,243944000,,,243944000,337551000,Null,133.4,63,San Joaquin River
"Los Banos, City of",Yes,6/15/15,37168,28%,237081000,,,237081000,321727000,Null,127.6,60,San Joaquin River
"Los Banos, City of",Yes,5/15/15,37168,NULL,194652000,,,194652000,300515000,Null,106.4,63,San Joaquin River
"Los Banos, City of",Yes,4/15/15,37168,NULL,187216000,,,187216000,224680000,Null,104.1,62,San Joaquin River
"Los Banos, City of",Yes,3/15/15,37168,NULL,166417000,,,166417000,186188000,Null,69.3,48,San Joaquin River
"Los Banos, City of",Yes,2/15/15,37168,NULL,117939000,,,117939000,123565000,Null,78.2,69,San Joaquin River
"Los Banos, City of",Yes,1/15/15,37168,NULL,127196000,,,127196000,121426000,Null,69.5,63,San Joaquin River
"Los Banos, City of",Yes,12/15/14,37168,NULL,127370000,,,127370000,124110000,Null,75.2,68,San Joaquin River
"Los Banos, City of",Yes,11/15/14,37168,NULL,148411000,,,148411000,180075000,Null,118.5,89,San Joaquin River
"Los Banos, City of",Yes,10/15/14,37168,NULL,227812000,,,227812000,234625000,Null,132.5,67,San Joaquin River
"Los Banos, City of",Yes,9/15/14,37168,NULL,252715000,,,252715000,285980000,Null,158.6,70,San Joaquin River
"Los Banos, City of",Yes,8/15/14,37168,NULL,291669000,,,291669000,324811000,Null,167.1,66,San Joaquin River
"Los Banos, City of",Yes,7/15/14,37168,NULL,311181000,,,311181000,337551000,Null,170.1,63,San Joaquin River
"Los Banos, City of",Yes,6/15/14,37168,NULL,300808000,,,300808000,321727000,Null,170,63,San Joaquin River
Turlock  City of,Yes,9/15/16,72050,16%,600.72,147.53,,600720000,745220000,147530000,154.7,56,San Joaquin River
Turlock  City of,Yes,8/15/16,72050,16%,682.18,148.95,,682180000,808810000,148950000,163.5,54,San Joaquin River
Turlock  City of,Yes,7/15/16,72050,16%,699.14,174.7,,699140000,927170000,174700000,174.5,56,San Joaquin River
Turlock  City of,Yes,6/15/16,72050,16%,649.73,136.42,,649730000,748130000,136420000,167.8,56,San Joaquin River
Turlock  City of,Yes,5/15/16,72050,29%,536.78,129.11,,536780000,765650000,129110000,133,55,San Joaquin River
Turlock  City of,Yes,4/15/16,71181,29%,415.878977,132.94,,415878977,612450500,132940000,99,51,San Joaquin River
Turlock  City of,Yes,3/15/16,71181,29%,322.54,120.35,,322540000,482380000,120350000,71,49,San Joaquin River
Turlock  City of,Yes,2/15/16,71181,32%,299.94,114.39,,289597241.4,322460000,110445517.2,68.3,47,San Joaquin River
Turlock  City of,Yes,1/15/16,71181,32%,288.71,112.29,,288710000,340360000,112290000,63.1,48,San Joaquin River
Turlock  City of,Yes,12/15/15,71181,32%,309.397427,114.1939,,309397427,463590700,114193900,68,48,San Joaquin River
Turlock  City of,Yes,11/15/15,71181,32%,349.32,127.24,,349320000,521890000,127240000,82.6,50,San Joaquin River
Turlock  City of,Yes,10/15/15,71181,32%,510.31,146.22,,510310000,638180000,146220000,120.7,52,San Joaquin River
Turlock  City of,Yes,9/15/15,71181,32%,549.4,135.17,,549400000,745220000,135170000,142.8,56,San Joaquin River
Turlock  City of,Yes,8/15/15,71181,32%,596.21,148.94,,596210000,808810000,148940000,164.6,61,San Joaquin River
Turlock  City of,Yes,7/15/15,71181,32%,602.9,147.4,,602900000,927200000,147400000,155,57,San Joaquin River
Turlock  City of,Yes,6/15/15,71181,32%,604.2774,133.918303,,604277400,748134500,133918303,152.8,54,San Joaquin River
Turlock  City of,Yes,5/15/15,71181,NULL,476.28,168.48,,476280000,765650000,168480000,134.1,62,San Joaquin River
Turlock  City of,Yes,4/15/15,71181,NULL,497.77,,,497770000,612450000,Null,125.7,54,San Joaquin River
Turlock  City of,Yes,3/15/15,71181,NULL,473,,,473000000,482400000,Null,109,51,San Joaquin River
Turlock  City of,Yes,2/15/15,71181,NULL,294.8,,,294800000,378400000,Null,77.7,53,San Joaquin River
Turlock  City of,Yes,1/15/15,71181,NULL,298.3,,,298300000,340400000,Null,75.2,56,San Joaquin River
Turlock  City of,Yes,12/15/14,71181,NULL,301,,,301000000,463600000,Null,72.2,53,San Joaquin River
Turlock  City of,Yes,11/15/14,71181,NULL,413,,,413000000,521900000,Null,99.3,51,San Joaquin River
Turlock  City of,Yes,10/15/14,70132,NULL,601.6,,,601600000,638200000,Null,151.7,55,San Joaquin River
Turlock  City of,Yes,9/15/14,71181,NULL,708.4,,,708400000,745200000,Null,174.1,52,San Joaquin River
Turlock  City of,Yes,8/15/14,71181,NULL,704959441,,,704959441,808805100,Null,190.7,60,San Joaquin River
Turlock  City of,Yes,7/15/14,71181,NULL,796,,,796000000,927000000,Null,216.4,60,San Joaquin River
Turlock  City of,Yes,6/15/14,71181,NULL,791,,,791000000,748000000,Null,237.1,64,San Joaquin River
Jurupa Community Service District,Yes,9/15/16,118731,0%,2409.914,626.584,,785273915.9,895701054.2,204173290.5,163.1,74,South Coast
Jurupa Community Service District,Yes,8/15/16,118731,0%,2671.485,667.865,,870507199.5,979544255.7,217624763.3,177.4,75,South Coast
Jurupa Community Service District,Yes,7/15/16,118731,0%,2698.698,647.98,,879374594.3,999322133.9,211145207.7,181.6,76,South Coast
Jurupa Community Service District,Yes,6/15/16,118731,0%,2187.115,524.915,,712674543.8,930061109.7,171044301.8,152.1,76,South Coast
Jurupa Community Service District,Yes,5/15/16,118731,23%,2005.116,481.236,,653369909.9,896655147.2,156811437.3,134.9,76,South Coast
Jurupa Community Service District,Yes,4/15/16,118731,23%,1767.478,424.208,,575935228.5,693432691.2,138228782.1,122.9,76,South Coast
Jurupa Community Service District,Yes,3/15/16,118731,23%,1448.951,319.951,,472142751,599884982.5,104256489.9,100.1,78,South Coast
Jurupa Community Service District,Yes,2/15/16,118731,28%,1417.229,297.619,0,445881744,397567415.9,93635452.55,106,79,South Coast
Jurupa Community Service District,Yes,1/15/16,118731,28%,1189.271,261.641,,387525652.4,439521438.8,85256093.21,82.1,78,South Coast
Jurupa Community Service District,Yes,12/15/15,118731,28%,1385.491,346.361,,451464219.5,543768153.2,112862226.1,92,75,South Coast
Jurupa Community Service District,Yes,11/15/15,118731,28%,1697.973,441.463,0,553286925.1,602747261.5,143851348.5,114.9,74,South Coast
Jurupa Community Service District,Yes,10/15/15,118731,28%,1861.902,465.462,,606703423.6,757936610.4,151671456.9,123.6,75,South Coast
Jurupa Community Service District,Yes,9/15/15,118731,28%,1899.173,493.173,,618848232.2,895701054.2,160701125.8,128.6,74,South Coast
Jurupa Community Service District,Yes,8/15/15,118731,28%,2354.694,659.304,,767280400.1,979544255.7,214835149.2,150.1,72,South Coast
Jurupa Community Service District,Yes,7/15/15,118731,28%,2097.311,671.256,0,683411782.2,999322459.7,218729725.5,126.3,68,South Coast
Jurupa Community Service District,Yes,6/15/15,118731,28%,2193.12,811.45,,714631281.6,930061109.7,264412140.4,126.4,63,South Coast
Jurupa Community Service District,Yes,5/15/15,118731,NULL,1753.769,,,571468131.3,896655147.2,Null,107.1,69,South Coast
Jurupa Community Service District,Yes,4/15/15,118731,NULL,1939.684,,,632048799.3,693432691.2,Null,99.4,56,South Coast
Jurupa Community Service District,Yes,3/15/15,118731,NULL,1758.608,,,573044926.3,599884982.5,Null,90.3,58,South Coast
Jurupa Community Service District,Yes,2/15/15,118731,NULL,1315.773,,,428746509.7,397567415.9,Null,89,69,South Coast
Jurupa Community Service District,Yes,1/15/15,118731,NULL,1299.669,,,423498998.3,439521438.8,Null,79.4,69,South Coast
Jurupa Community Service District,Yes,12/15/14,118731,NULL,1012.968,,,330077068.3,543768153.2,Null,61.9,69,South Coast
Jurupa Community Service District,Yes,11/15/14,118731,NULL,1735.656,,,565565984.4,602747261.5,Null,106.4,67,South Coast
Jurupa Community Service District,Yes,10/15/14,118731,NULL,2240.288,,,730001041.7,757937262.1,Null,115,58,South Coast
Jurupa Community Service District,Yes,9/15/14,118731,NULL,2506.362,,,816701634.3,895701054.2,Null,149,65,South Coast
Jurupa Community Service District,Yes,8/15/14,118731,NULL,2729.602,,,889444706.8,979544255.7,Null,159.5,66,South Coast
Jurupa Community Service District,Yes,7/15/14,118731,NULL,3019.297,,,983842236,999322459.7,Null,157.7,59,South Coast
Jurupa Community Service District,Yes,6/15/14,118731,NULL,2884.2,,,939820685.8,930061109.7,Null,166.2,63,South Coast
Coastside County Water District,Yes,9/15/16,16704,0%,57.67,27.91,,57670000,66040000,27910000,44.9,39,San Francisco Bay
Coastside County Water District,Yes,8/15/16,16704,0%,68.97,27.95,,68970000,84560000,27950000,81.2,61,San Francisco Bay
Coastside County Water District,No,7/15/16,16704,0%,61.24,27.34,,61240000,75610000,27340000,42.6,36,San Francisco Bay
Coastside County Water District,Yes,6/15/16,16704,0%,67.23,,,67230000,69550000,Null,81.8,61,San Francisco Bay
Coastside County Water District,Yes,5/15/16,16704,8%,64.53,26.25,,64530000,83280000,26250000,38.6,31,San Francisco Bay
Coastside County Water District,Yes,4/15/16,16704,8%,43.58,12.4,,43580000,62550000,12400000,51.3,59,San Francisco Bay
Coastside County Water District,Yes,3/15/16,16704,8%,39.2,14.72,,39200000,48380000,14720000,31.8,42,San Francisco Bay
Coastside County Water District,Yes,2/15/16,16704,8%,39.75,12.88,,38379310.34,45630000,12435862.07,59.9,73,San Francisco Bay
Coastside County Water District,Yes,1/15/16,16668,8%,37.94,12.76,,37940000,40510000,12760000,35.2,48,San Francisco Bay
Coastside County Water District,Yes,12/15/15,16668,8%,38.18,11.81,,38180000,55880000,11810000,55.4,75,San Francisco Bay
Coastside County Water District,Yes,11/15/15,16668,8%,41.24,19.72,,41240000,57990000,19720000,38.8,47,San Francisco Bay
Coastside County Water District,Yes,10/15/15,16668,8%,56.6,20.67,,56600000,68720000,20670000,74.5,68,San Francisco Bay
Coastside County Water District,Yes,9/15/15,16668,8%,59.07,27.5,,59070000,66040000,27500000,44.9,38,San Francisco Bay
Coastside County Water District,Yes,8/15/15,16668,8%,62,29.26,,62000000,84560000,29260000,75.6,63,San Francisco Bay
Coastside County Water District,Yes,7/15/15,16668,8%,57.33,24.19,,57330000,75610000,24190000,35.5,32,San Francisco Bay
Coastside County Water District,Yes,6/15/15,16668,8%,56.87,20.64,,56870000,69550000,20640000,68.7,60,San Francisco Bay
Coastside County Water District,Yes,5/15/15,16668,NULL,44.19,19.94,,44190000,56000000,19940000,39.4,46,San Francisco Bay
Coastside County Water District,Yes,4/15/15,16668,NULL,48.88,,,48880000,62550000,Null,73.6,75,San Francisco Bay
Coastside County Water District,Yes,3/15/15,16668,NULL,48.89,,,48890000,48380000,Null,38.5,41,San Francisco Bay
Coastside County Water District,Yes,2/15/15,16668,NULL,50.33,,,50330000,45630000,Null,73.7,68,San Francisco Bay
Coastside County Water District,Yes,1/15/15,16668,NULL,53.78,,,53780000,40510000,Null,37.1,36,San Francisco Bay
Coastside County Water District,Yes,12/15/14,16652,NULL,39.11,,,39110000,51100000,Null,57.6,76,San Francisco Bay
Coastside County Water District,Yes,11/15/14,16652,NULL,46.37,,,46370000,57990000,Null,41.8,45,San Francisco Bay
Coastside County Water District,Yes,10/15/14,16652,NULL,57.13,,,57130000,68720000,Null,79.7,72,San Francisco Bay
Coastside County Water District,Yes,9/15/14,16652,NULL,60.23,,,60230000,71880000,Null,48.2,40,San Francisco Bay
Coastside County Water District,Yes,8/15/14,16652,NULL,74.89,,,74890000,84560000,Null,87,60,San Francisco Bay
Coastside County Water District,Yes,7/15/14,16652,NULL,74.76,,,74760000,75610000,Null,50,35,San Francisco Bay
Coastside County Water District,Yes,6/15/14,16652,NULL,67.83,,,67830000,69550000,Null,93,69,San Francisco Bay
Citrus Heights Water District,Yes,9/15/16,65093,0%,1258,63,0,409921095.2,492035654.8,20528639.9,199.4,95,Sacramento River
Citrus Heights Water District,Yes,8/15/16,65093,0%,1580,79,0,514845254.7,626938145.6,25742262.73,242.4,95,Sacramento River
Citrus Heights Water District,Yes,7/15/16,65093,0%,1545,77,0,503440454.7,670928088.2,25090559.88,237,95,Sacramento River
